Person in charge,Authors,Year,Title,DOI or PMID,Language,"Country (e.g., where RCT was performed)",Included/exclude,Reason for exclusion,Reason for exclusion,Reason for exclusion (description),Data collection,Analysis,Species,Species information,"Count, n","Count, n control group","Count, n died in control group","Count, n excluded in control group","Count, n treatment group","Count, n died in treatment group","Count, n excluded in treatment group",Comment on counts,"Sex (n, ratio, percentage)",Sex,"Sex (%, male)","Age [days, months, years]",Age (mean),Age (SD),Age (min),Age (max),Age (units),Age (comment),"Weight [g, kg , pounds]",Weight (mean),Weight (SD),Weight (min),Weight (max),Weight (unit),Weight (comment),"Injury characteristics (level, severity)",Injury level,Injury severity,Injury mechanism,Injury mechanism (details),Duration of SCI,Drug(s),Drug name harmonized,MP used as main drug?,Dose (absolute dose or mg/kg),"Time (minutes pre-injury, minutes post-injury)",Treatmetn in first 24h?,Duration of treatment,"Timing (e.g., BID, PID)",Route,Route (comment when multiple),"What was assessed? (e.g., neurological,  functional recovery, spasticity, walking function, electrophysiology)",Name/type of asessement,Name of assessment harmonised,Details on assessement,Timing of assessement,Assessment on day 28 (yes/no),Was observer blinded?,Drug effect on functional assessment,Drug effect on functional assessment (details),"What was assessed? (e.g., histological measures, cavitity measures, ect )",Name/type of asessement,Timing of assessement,Was observer blinded?,Drug effect on neuroanatomical assessment,Drug effect on neuroanatomical assessment (details),Drugs given to treat infections/pain ect.,Conclusion of study,Limitations,Remarks/Comments,Combination of drugs tested,Contradictions present in the results
Catherine,Chaovipoch et al,2006,17beta-estradiol is protective in spinal cord injury in post- and pre-menopausal rats.,10.1089/neu.2006.23.830,English,,excluded,Out of scope,No drug of interest,Menopause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Lee et al,2012,17Œ≤-estradiol inhibits apoptotic cell death of oligodendrocytes by inhibiting Rhoa-JNK3 activation after spinal cord injury,10.1210/en.2012-1068,English,,excluded,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Chaovipoch et al,2006,17Œ≤-estradiol is protective in spinal cord injury in post- and pre-menopausal rats,10.1089/neu.2006.23.830,English,,excluded,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Zhou et al,2014,17Œ≤-estradiol protects human eyelid-derived adipose stem cells against cytotoxicity and increases transplanted cell survival in spinal cord injury,10.1111/jcmm.12191,English,,excluded,Out of scope,No drug of interest,Effect of estradiol on Stem Cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Jacobsen et al,1992,2-(AMINOMETHYL)CHROMANS THAT INHIBIT IRON-DEPENDENT LIPID-PEROXIDATION AND PROTECT AGAINST CENTRAL-NERVOUS-SYSTEM TRAUMA AND ISCHEMIA,10.1021/jm00101a025,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Hirakawa et al,2010,"2-Decenoic acid ethyl ester, a derivative of unsaturated medium-chain fatty acids, facilitates functional recovery of locomotor activity after spinal cord injury",10.1016/j.neuroscience.2010.10.004,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Zhou et al,2000,5-hydroxytryptophan-induced respiratory recovery after cervical spinal cord hemisection in rats,10.1152/jappl.2000.89.4.1528 ,English,,excluded,Out of scope,No assessments of interest,Respiratory recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Kalotra et al,2020,5-Nonyloxytryptamine oxalate‚Äìembedded collagen‚Äìlaminin scaffolds augment functional recovery after spinal cord injury in mice,10.1111/nyas.14279,English,,excluded,Out of scope,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Kyung et al,2006,"6-Shogaol, a natural product, reduces cell death and restores motor function in rat spinal cord injury",10.1111/j.1460-9568.2006.04908.x,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Carboncini et al,2014,A case of post-traumatic minimally conscious state reversed by midazolam: Clinical aspects and neurophysiological correlates,10.3233/RNN-140426,English,,excluded,Case report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Huang et al.,2007,A combination of intravenous and dietary docosahexaenoic acid significantly improves outcome after spinal cord injury,10.1093/brain/awm223,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Zhilai et al,2012,A combination of taxol infusion and human umbilical cord mesenchymal stem cells transplantation for the treatment of rat spinal cord injury,10.1016/j.brainres.2012.08.051,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Bhattacharyya et al,2021,A combinatorial approach to modulate microenvironment toward regeneration and repair after spinal cord injury in rats,10.1016/j.neulet.2020.135500,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Reina et al,1995,A combined behavioral physiological method for the assessment of thermal sensibility in the rat,10.1016/0165-0270(95)00108-5,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Du et al,2014,A comparative study of gelatin sponge scaffolds and PLGA scaffolds transplanted to completely transected spinal cord of rat,10.1002/jbm.a.34835,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Coleman et al,2000,A critical appraisal of the reporting of the National Acute Spinal Cord Injury Studies (II and III) of methylprednisolone in acute spinal cord injury,10.1097/00002517-200006000-00001,English,,excluded,Opinion,,Critical appraisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Diaz et al,2017,A Cross Talk between Neuronal Urokinase-type Plasminogen Activator (uPA) and Astrocytic uPA Receptor (uPAR) Promotes Astrocytic Activation and Synaptic Recovery in the Ischemic Brain,10.1523/JNEUROSCI.1630-17.2017,English,,excluded,Non-sci population,,Not spinal cord injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Hosier et al,2015,A Direct Comparison of Three Clinically Relevant Treatments in a Rat Model of Cervical Spinal Cord Injury,10.1089/neu.2015.3892,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,rats,Long-Evans,35,,,,,,,,100% female,,,10–12 weeks,,,,,,,200–225 g,,,,,,,"C7, hemilateral",,,,weight drop,6 weeks,riluzole,,,,,,,,,,,,,,,,,,,,,,,,,"Anaesthesia:ketamine, 60 mg/kg plus xylazine, 7.5 mg/kg, intraperitoneally;
",,,,,
Catherine,Wei et al,2015,A disintegrin and metalloprotease 17 promotes microglial cell survival via epidermal growth factor receptor signalling following spinal cord injury,10.3892/mmr.2015.3395,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Li et al,2016,A Hydrogel Bridge Incorporating Immobilized Growth Factors and Neural Stem/Progenitor Cells to Treat Spinal Cord Injury,10.1002/adhm.201500810,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Gosh et al,2019,A hydrogel engineered to deliver minocycline locally to the injured cervical spinal cord protects respiratory neural circuitry and preserves diaphragm function,10.1016/j.nbd.2019.04.014,English,,excluded,Out of scope,No assessments of interest,Diaphragma function,,,rats,Sprague-Dawley,not reported,,,,,not reported,not reported,,100% female,female,0,not reported,,,,,,Not reported,250–300 g,250-300,,,,g,,C4/5 ,,,,Unilateral cervical contusion,5 weeks,minocycline,,,3 mg/mL (injection volume: 30 μL),immediately after injury,,single dose,single dose,intrathecally,,-,-,,-,-,,-,-,-,"Immunohistochemistry, assessment of lesion volume",Lesion was defined as areas including both lost tissue (cystic cavity formation) and surrounding damaged tissue in which the normal anatomical structure of the spinal was lost.,5 weeks post injury,,positive effect,Minocycline hydrogel decreased lesion size and degeneration of cervical motor neuron cell bodies,"Anaethesia: ketamine (100 mg/kg), xylazine (5 mg/kg) and acepromazine (2 mg/kg)",MH hydrogel implantation after cervical contusion SCI preserved diaphragm function; MH hydrogel also decreased lesion size and degeneration of cervical motor neurons.,not reported,,,
Catherine,Campolo et al,2013,A hydrogen sulfide-releasing cyclooxygenase inhibitor markedly accelerates recovery from experimental spinal cord injury,10.1096/fj.13-234716,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Cragg et al,2019,A Longitudinal Study of the Neurologic Safety of Acute Baclofen Use After Spinal Cord Injury,10.1007/s13311-019-00713-8,English,,included,,,,prospective,retrospective,human,-,651,536,0,0,115,0,0,,female: 131 (20.1),mixed,79.9,32.5 (13.4),32.5,13.4,,,Years,,-,,,,,,,AIS A (n= 412 [63.3%]); AIS B (n=71 [10.9%]); AIS C (n=139 [21.4%]); AIS D (n=29 [4.5%]),,mixed,trauma,traumatic injury,-,baclofen,baclofen,,"Low-dose baclofen (total cumulative dose < 220 mg), 
High-dose baclofen (total cumulative dose ≥ 220 mg)",Within 30 days post injury,,between 1-30 days,not reported,oral,,neurological recovery,marked recovery,"neurological (motor and sensory), injury severity","For patients with AIS-A and AIS-B injuries at baseline, “marked recovery” was defined by a conversion to (at a minimum) AIS-C and AIS-D, respectively (i.e., regaining sensory and motor function caudal to the level of injury). To achieve “marked recovery,” AIS-C and AIS-D patients were required to recover limited or unlimited walking function, respectively, according to the Benzel grades.","4, 52 weeks",,no,no effect,Cumulative baclofen exposure was generally not significantly associated with light tough sensory scores at 4 weeks or 52 weeks or the change in light tough sensory scores from 4 weeks until 52 weeks. Cumulative baclofen exposure was generally not significantly associated with lower extremity motor scores at 4 weeks or 52 weeks or the change in lower extremity motor score from 4 weeks until 52 weeks. ,-,-,-,-,,-,no reported,This analysis provides evidence on the safety of baclofen in the early days after acute traumatic spinal cord injury with the recommended doses for symptomatic muscle spasms,"The primary limitation of the proposed study is that the Sygen data represents a historical clinical trial, first initiated in the 1992 and completed in 1997. Another common limitation of observational study design is confounding and misclassification of exposures and outcomes. ",,No,
Catherine,Li et al,2019,A MnO2 Nanoparticle-Dotted Hydrogel Promotes Spinal Cord Repair via Regulating Reactive Oxygen Species Microenvironment and Synergizing with Mesenchymal Stem Cells,10.1021/acsnano.9b07598,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Dill et al,2010,A molecular mechanism for ibuprofen-mediated RhoA inhibition in neurons,10.1523/JNEUROSCI.5045-09.2010,English,,excluded,Out of scope,No drug of interest,"Cell lines, no in-vivo experiments",,,,,,,,,,,,,100% female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Ma et al,2020,A novel hydrogel-based treatment for complete transection spinal cord injury repair is driven by microglia/macrophages repopulation,10.1016/j.biomaterials.2020.119830,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Flamm et al,1985,A Phase I trial of naloxone treatment in acute spinal cord injury,10.3171/jns.1985.63.3.0390,English,,excluded,Out of scope,No control group,"Two different treatment regimes are compared, but there is no control group.",,,human,,29,,,,,,,,4 female; 25 male,,,"37 (mean), 16-79",,,,,,,,,,,,,,21 complete SCI; 8 incomplete SCI,,,,traumatic injury,-,naloxone,,,"Group 1: 0.14 - 1.43 mg/kg;
Group 2: 2.7 - 5.4 mg/kg",mean: 12.9 hrs (range 2 to 48 hrs),,47hrs,continously,intravenously,,"electrophysiology, neurological","Somatosensory evoked potentials, neurological status",,"SEPs: no details reported
Neurological status: assessed according to a protocol developed for NASCIS",every 15 minutes for the 1st hour after drug administration and hourly thereafter,,not reported,no effect,"The observed improvement in the clinical examination and SEP's at the higher doses, while not statistically verified in this Phase I trial, is encouraging",,,,,,,Not reported,"This study demonstrates that, in spinal cord-injured patients, naloxone given as an intravenous loading dose
of 200 mg/sq m, followed by a continuous infusion of up to 150 mg/sq m/hr for 23 hours, has minimal side
effects. The observed improvement in the clinical examination and SEP's at the higher doses, while not
statistically verified in this Phase I trial, is encouraging. ",not reported,,,
Catherine,Olby et al,2016,"A Placebo-Controlled, Prospective, Randomized Clinical Trial of Polyethylene Glycol and Methylprednisolone Sodium Succinate in Dogs with Intervertebral Disk Herniation",10.1111/jvim.13657,English,,excluded,Non-sci population,,No spinal cord injury (disc herniation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Farjah et al,2010,A potential protective effect of -tocopherol on vascular complication in spinal cord reperfusion injury in rats,10.1186/1423-0127-17-55,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Laverty et al,2004,A preliminary study of intravenous surfactants in paraplegic dogs: Polymer therapy in canine clinical SCI,10.1089/neu.2004.21.1767,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Grossman et al,2014,"A prospective, multicenter, Phase i matched-comparison group trial of safety, pharmacokinetics, and preliminary efficacy of riluzole in patients with traumatic spinal cord injury",10.1089/neu.2013.2969,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Zidan et al,2018,"A randomized, blinded, prospective clinical trial of postoperative rehabilitation in dogs after surgical decompression of acute thoracolumbar intervertebral disc herniation",10.1111/jvim.15086,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Bracken et al,1990,"A randomized, controlled trial of methylprednisolone or naloxone in the treatment of acute spinal-cord injury: Results of the second national acute spinal cord injury study",10.1056/NEJM199005173222001,English,,included,,,,prospective,prospective,human,,487,171,,,162,,,2 treatment groups on this study,"% of male in different treatment group: MP=86.4, naloxone=80.5, placebo=84.8",mixed,86.4,% per age category per group (MP/naloxone/placebo): 13-19y: 15.4/14.9/15.2; 20-24y: 29.0/33.8/22.8; 25-29y: 11.1/14.9/14.6; 30-34y: 14.8/7.1/14.6; 35-39y: 9.3/5.8/8.2; 40-44y: 3.1/5.8/8.2; 45-49y: 1.9/2.0/3.5; 50-54y: 4.3/4.6/1.8; 55-59y: 2.5/1.3/4.7; over or 60: 8.6/9.7/8.8,,,,,Years,,"weight per ttt group in kg: MP=75.0(13.0), naloxone=75.4(15.5), placebo=76.0(16.7)",75,13,,,kg,,level: not reported; severity: % complete injuries in MP/naloxone/placebo=64.6/53.9/58.8,,mixed,trauma,% per cause of injury for MP/naloxone/placebo groups: automobile accident: 37.7/46.1/43.3; motorcycle accident: 9.3/3.2/8.8; fall: 17.9/20.8/19.9; crush: 4.9/4.6/5.3; water related: 16.7/13.0/15.2; other: 13.6/12.3/7.6,randomization within 12h after injury,"methylprednisolone, naloxone",methylprednisolone,,bolus of 30 mg/kg and maintenance of 5.4 mg/kg/h,2 groups: <=8h after injury or more than 8 hours after injury,,"24h: 15 minute bolus, 45 minutes pause and 23h maintenance infusion","15 minute bolus, 45 minutes pause and 23h maintenance infusion",intravenously,,neurological function,"pinprick, light touch, motor function scale",neurological (motor and sensory),"pinprick and light touch: 24 segments (C2 to S5) evluated bilaterally and scored as absent=1, decreased=2, normal=3; expanded score for each measurements ranged from 29 (absent at all levels) and 87 (normal at all levels), classification in 1 of 5 categories: analgesic and anesthetic at or above T1 if sensation of PP and LT, respectively, were absent at T! or above and in all distal segments, analgesic and anesthetic below T!, hypalgesic and hypesthesic at or above T1 if sensation was decreased at T! or above, hypalgesic and hypesthesic below, normal if all segments were evaluated as normal; motor function: 6 classifications in 14 muscles, 0=no contraction, 1=reduced contraction, 2=active movement without gravity (side to side but not upward), 3=active movement with antigravity, 4=reduced function but active movement against resistance, 5=normal function, expanded motor scores ranged from 0=no contraction in any muscle, to 70=all normal responses and obtained separately for right and left sides, calsification as quadriplegic, paraplegic, quadriparetic, paraparetic and normal","upon admission, six-week examination (42-49 days after injury), 6-month examination (180-220 days)",,yes,positive effect,"naloxone: no difference compared to control group; MP: both at 6 weeks and 6 months patients with MP had rgeater sensory improvement than those receiving placebo (significant statistically for PP and LT), and among the patients treated within 8h of their injury, those receiving MP recovered more motor function than those given placebo and also greater recovery of PP and LT",-,-,-,-,,-,not reported,"We conclude that in patients with acute spinal-cord injury, treatment with MP in the dose used in this study improves neurologic recovery when the medication is given in the first 8 hours. We also conclude that treatment with naloxone in the dose used in this study does not improve neurologic recovery after acute spinal cord injury",not reported,"human study for MP; no effect on motor function when looking at entire MP group, significant improvement of motor function when looking only at the patients with MP within 8h",No,
Lucie,Bracken et al,1990,"A randomized, controlled trial of methylprednisolone or naloxone in the treatment of acute spinal-cord injury: Results of the second national acute spinal cord injury study",10.1056/NEJM199005173222001,English,,included,,,,prospective,prospective,human,,487,171,,,154,,,2 treatment groups on this study,"% of male in different treatment group: MP=86.4, naloxone=80.5, placebo=84.8",mixed,84.8,% per age category per group (MP/naloxone/placebo): 13-19y: 15.4/14.9/15.2; 20-24y: 29.0/33.8/22.8; 25-29y: 11.1/14.9/14.6; 30-34y: 14.8/7.1/14.6; 35-39y: 9.3/5.8/8.2; 40-44y: 3.1/5.8/8.2; 45-49y: 1.9/2.0/3.5; 50-54y: 4.3/4.6/1.8; 55-59y: 2.5/1.3/4.7; over or 60: 8.6/9.7/8.8,,,,,Years,,"weight per ttt group in kg: MP=75.0(13.0), naloxone=75.4(15.5), placebo=76.0(16.7)",75.4,15.5,,,kg,,level: not reported; severity: % complete injuries in MP/naloxone/placebo=64.6/53.9/58.8,,mixed,trauma,% per cause of injury for MP/naloxone/placebo groups: automobile accident: 37.7/46.1/43.3; motorcycle accident: 9.3/3.2/8.8; fall: 17.9/20.8/19.9; crush: 4.9/4.6/5.3; water related: 16.7/13.0/15.2; other: 13.6/12.3/7.6,randomization within 12h after injury,"methylprednisolone, naloxone",naloxone,,bolus of 5.4 mg/kg and maintenance of 4.0 mg/kg/h (volus and maintenance doses varied according to body-surface area),2 groups: <=8h after injury or more than 8 hours after injury,,"24h: 15 minute bolus, 45 minutes pause and 23h maintenance infusion","15 minute bolus, 45 minutes pause and 23h maintenance infusion",intravenously,,neurological function,"pinprick, light touch, motor function scale",neurological (motor and sensory),"pinprick and light touch: 24 segments (C2 to S5) evluated bilaterally and scored as absent=1, decreased=2, normal=3; expanded score for each measurements ranged from 29 (absent at all levels) and 87 (normal at all levels), classification in 1 of 5 categories: analgesic and anesthetic at or above T1 if sensation of PP and LT, respectively, were absent at T! or above and in all distal segments, analgesic and anesthetic below T!, hypalgesic and hypesthesic at or above T1 if sensation was decreased at T! or above, hypalgesic and hypesthesic below, normal if all segments were evaluated as normal; motor function: 6 classifications in 14 muscles, 0=no contraction, 1=reduced contraction, 2=active movement without gravity (side to side but not upward), 3=active movement with antigravity, 4=reduced function but active movement against resistance, 5=normal function, expanded motor scores ranged from 0=no contraction in any muscle, to 70=all normal responses and obtained separately for right and left sides, calsification as quadriplegic, paraplegic, quadriparetic, paraparetic and normal","upon admission, six-week examination (42-49 days after injury), 6-month examination (180-220 days)",,yes,no effect,"naloxone: no difference compared to control group; MP: both at 6 weeks and 6 months patients with MP had rgeater sensory improvement than those receiving placebo (significant statistically for PP and LT), and among the patients treated within 8h of their injury, those receiving MP recovered more motor function than those given placebo and also greater recovery of PP and LT",-,-,-,-,,-,not reported,"We conclude that in patients with acute spinal-cord injury, treatment with MP in the dose used in this study improves neurologic recovery when the medication is given in the first 8 hours. We also conclude that treatment with naloxone in the dose used in this study does not improve neurologic recovery after acute spinal cord injury",not reported,"human study for MP; no effect on motor function when looking at entire MP group, significant improvement of motor function when looking only at the patients with MP within 8h",No,
Catherine,Sharp et al,2014,A re-assessment of long distance growth and connectivity of neural stem cells after severe spinal cord injury,10.1016/j.expneurol.2014.04.008,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
